Local Area Unemployment Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years:,1992 to 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Series ID,"Annual
1992","Annual
1993","Annual
1994","Annual
1995","Annual
1996","Annual
1997","Annual
1998","Annual
1999","Annual
2000","Annual
2001","Annual
2002","Annual
2003","Annual
2004","Annual
2005","Annual
2006","Annual
2007","Annual
2008","Annual
2009","Annual
2010","Annual
2011","Annual
2012","Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018","Annual
2019"
LAUST010000000000003,7.6,7.3,6.2,6.0,5.2,5.0,4.4,4.7,4.6,5.1,5.9,6.0,5.7,4.5,4.0,4.0,5.7,11.0,10.5,9.6,8.0,7.2,6.8,6.1,5.8,4.4,3.9,
LAUST010000000000004,148990,147151,125836,123566,109129,106509,93886,101407,97629,108517,124242,127493,121569,96234,87576,86485,123012,238252,231483,212257,173047,156957,146552,131395,127238,96567,86490,
LAUST010000000000005,1816526,1856754,1900856,1943878,1977334,2027064,2042291,2038889,2035594,2006884,1981919,1992732,2014889,2049791,2080233,2089127,2053477,1924747,1964559,1990413,2003290,2017043,2014290,2026898,2049971,2081676,2112347,
LAUST010000000000006,1965516,2003905,2026692,2067444,2086463,2133573,2136177,2140296,2133223,2115401,2106161,2120225,2136458,2146025,2167809,2175612,2176489,2162999,2196042,2202670,2176337,2174000,2160842,2158293,2177209,2178243,2198837,
LAUST020000000000003,8.9,7.7,7.6,7.3,7.6,7.1,6.3,6.5,6.4,6.4,7.3,7.8,7.5,6.9,6.6,6.3,6.7,7.7,7.9,7.6,7.1,7.0,6.9,6.5,6.9,7.0,6.6,
LAUST020000000000004,25592,22723,22900,22271,23520,22372,20047,20589,20365,20662,23821,25946,25100,23748,23149,22206,23824,27855,28497,27752,26045,25491,25081,23672,24862,25077,23511,
LAUST020000000000005,261624,272709,279471,281889,286252,290845,295823,297354,299146,300731,302580,305723,311643,320811,326542,328579,332285,331792,333416,338161,339474,339801,340302,339724,337369,335682,333375,
LAUST020000000000006,287216,295432,302371,304160,309772,313217,315870,317943,319511,321393,326401,331669,336743,344559,349691,350785,356109,359647,361913,365913,365519,365292,365383,363396,362231,360759,356886,
LAUST040000000000003,7.5,6.4,6.1,5.3,5.6,4.6,4.3,4.4,4.0,4.8,6.1,5.7,5.0,4.7,4.2,3.9,6.2,9.9,10.4,9.5,8.3,7.7,6.8,6.1,5.4,4.9,4.8,
LAUST040000000000004,141279,124774,129346,119231,127239,105658,102704,109929,99302,123786,163415,157146,140841,134854,126056,116899,190960,310533,320251,288547,252529,234728,210504,192075,174579,162822,166205,
LAUST040000000000005,1732327,1824253,1974779,2109900,2157966,2202911,2284323,2363084,2410581,2461498,2516006,2578854,2655428,2748372,2864385,2917117,2913903,2817577,2769454,2748470,2776349,2794697,2889380,2974540,3066011,3165127,3273550,
LAUST040000000000006,1873606,1949027,2104125,2229131,2285205,2308569,2387027,2473013,2509883,2585284,2679421,2736000,2796269,2883226,2990441,3034016,3104863,3128110,3089705,3037017,3028878,3029425,3099884,3166615,3240590,3327949,3439755,
LAUST050000000000003,7.1,6.1,5.4,4.8,5.3,5.2,5.2,4.6,4.3,5.0,5.5,5.9,5.7,5.2,5.2,5.3,5.5,7.8,8.2,8.3,7.6,7.2,6.0,5.0,4.0,3.7,3.7,
LAUST050000000000004,82019,72386,65319,59903,65620,65073,64230,57712,53606,62183,69575,75397,74195,70465,70504,72712,75240,106512,110842,113168,101626,95717,79258,67093,53127,49978,50037,
LAUST050000000000005,1072508,1105538,1153107,1178835,1183048,1177521,1177122,1197320,1204695,1191273,1201422,1196299,1226123,1275448,1294906,1296572,1300017,1252399,1242496,1249514,1241127,1226859,1237248,1264538,1286875,1297652,1301459,
LAUST050000000000006,1154527,1177924,1218426,1238738,1248668,1242594,1241352,1255032,1258301,1253456,1270997,1271696,1300318,1345913,1365410,1369284,1375257,1358911,1353338,1362682,1342753,1322576,1316506,1331631,1340002,1347630,1351496,
LAUST060000000000003,9.3,9.5,8.6,7.9,7.3,6.4,5.9,5.2,4.9,5.4,6.7,6.8,6.2,5.4,4.9,5.4,7.3,11.2,12.2,11.7,10.4,8.9,7.5,6.2,5.5,4.8,4.2,
LAUST060000000000004,1424054,1444167,1311788,1197789,1122173,1005427,960094,861322,834629,930759,1148412,1174778,1079635,947413,864687,961490,1323641,2032568,2244326,2156967,1921121,1666589,1403769,1169230,1041698,919803,815410,
LAUST060000000000005,13880944,13817032,13944739,14048225,14300443,14784636,15184470,15555278,16033179,16197671,16108685,16102840,16303996,16582651,16789422,16931590,16854482,16182572,16091945,16258133,16602672,16958403,17310937,17681849,18002773,18285492,18582802,
LAUST060000000000006,15304998,15261199,15256527,15246014,15422616,15790063,16144564,16416600,16867808,17128430,17257097,17277618,17383631,17530064,17654109,17893080,18178123,18215140,18336271,18415100,18523793,18624992,18714706,18851079,19044471,19205295,19398212,
LAUST080000000000003,6.0,5.3,4.2,4.0,4.2,3.5,3.6,3.1,2.8,3.8,5.5,6.0,5.5,5.0,4.3,3.7,4.8,7.3,8.7,8.4,7.9,6.9,5.0,3.9,3.2,2.7,3.3,
LAUST080000000000004,110530,102463,86525,85341,91414,76756,83736,72085,65107,90935,135307,148022,138802,128818,112514,99459,131382,198539,238013,228814,217281,189597,140124,109376,93335,81333,101606,
LAUST080000000000005,1734715,1828679,1952999,2039647,2063318,2140797,2227846,2272197,2294408,2300113,2307685,2338207,2393559,2435082,2509729,2565218,2585243,2524443,2486404,2507265,2539941,2577556,2662404,2719500,2803436,2911079,2994752,
LAUST080000000000006,1845245,1931142,2039524,2124988,2154732,2217553,2311582,2344282,2359515,2391048,2442992,2486229,2532361,2563900,2622243,2664677,2716625,2722982,2724417,2736079,2757222,2767153,2802528,2828876,2896771,2992412,3096358,
LAUST090000000000003,7.6,6.6,5.6,5.5,5.5,5.0,3.4,2.9,2.4,3.1,4.3,5.4,5.0,4.9,4.3,4.5,5.7,7.9,9.1,8.8,8.3,7.8,6.6,5.7,5.1,4.7,4.1,
LAUST090000000000004,138023,119138,98471,95004,95775,87628,59854,50431,42213,55055,77025,96336,87980,87594,79460,83050,106773,150106,174263,168808,157581,145573,124864,108038,97371,89432,78242,
LAUST090000000000005,1689684,1676578,1657825,1639060,1645952,1664912,1682342,1704134,1721913,1704774,1697127,1687924,1686213,1709382,1749191,1773159,1774681,1740971,1737449,1745967,1729838,1717764,1762564,1780840,1793904,1807506,1827070,
LAUST090000000000006,1827707,1795716,1756296,1734064,1741727,1752540,1742196,1754565,1764126,1759829,1774152,1784260,1774193,1796976,1828651,1856209,1881454,1891077,1911712,1914775,1887419,1863337,1887428,1888878,1891275,1896938,1905312,
LAUST100000000000003,5.4,5.1,4.8,4.3,5.1,4.0,3.7,3.4,3.7,3.5,4.0,4.3,4.0,4.1,3.6,3.4,4.9,8.3,8.4,7.5,7.2,6.7,5.7,4.9,4.5,4.5,3.8,
LAUST100000000000004,19909,19077,18503,16638,19880,15453,14639,13593,15473,14753,16764,17688,16785,17944,15785,15261,22127,36188,36550,33260,32115,29609,25862,22631,21331,21355,18128,
LAUST100000000000005,347253,357777,366324,369200,368254,372144,380250,385190,398027,407033,400019,397472,403599,414465,425399,428312,424914,401312,397869,410086,413457,413119,426325,443100,450911,455489,464337,
LAUST100000000000006,367162,376854,384827,385838,388134,387597,394889,398783,413500,421786,416783,415160,420384,432409,441184,443573,447041,437500,434419,443346,445572,442728,452187,465731,472242,476844,482465,
LAUST110000000000003,8.6,8.5,8.0,8.8,8.4,8.0,8.4,6.4,5.6,6.3,6.4,6.8,7.8,6.4,5.8,5.5,6.5,9.3,9.4,10.2,9.0,8.5,7.8,6.9,6.1,6.1,5.6,
LAUST110000000000004,27273,26931,24756,26317,24215,22639,24590,19481,17383,19704,19603,20968,24344,20132,18297,17811,21352,31172,32557,35607,33005,31775,29437,26798,24129,24297,22470,
LAUST110000000000005,289953,288925,285776,273768,263163,260105,267312,286650,293086,290811,286496,285454,287683,295484,297786,304426,309192,304500,313508,315171,331984,342351,349686,362420,371295,377153,382140,
LAUST110000000000006,317226,315856,310532,300085,287378,282744,291902,306131,310469,310515,306099,306422,312027,315616,316083,322237,330544,335672,346065,350778,364989,374126,379123,389218,395424,401450,404610,
LAUST120000000000003,8.2,7.1,6.4,5.5,5.2,4.8,4.3,3.9,3.7,4.7,5.6,5.2,4.6,3.7,3.2,4.0,6.3,10.4,11.1,10.0,8.5,7.2,6.3,5.5,4.8,4.2,3.6,
LAUST120000000000004,548145,481600,447567,389618,369862,352275,324810,297699,290914,374597,458060,427548,390520,321996,290682,367354,578360,946702,1018407,928904,794324,683663,601050,523915,471133,424223,365097,
LAUST120000000000005,6108967,6274934,6499945,6656533,6800128,7015836,7196659,7359460,7565981,7669117,7656349,7783148,8049908,8398974,8709522,8789770,8637164,8148123,8193659,8371638,8588669,8770084,8966245,9084483,9354560,9669228,9869673,
LAUST120000000000006,6657112,6756534,6947512,7046151,7169990,7368111,7521469,7657159,7856895,8043714,8114409,8210696,8440428,8720970,9000204,9157124,9215524,9094825,9212066,9300542,9382993,9453747,9567295,9608398,9825693,10093451,10234770,
LAUST130000000000003,6.9,6.0,5.2,4.8,4.7,4.6,4.3,3.9,3.6,4.0,5.0,4.8,4.8,5.3,4.7,4.5,6.2,9.9,10.5,10.2,9.2,8.2,7.1,6.0,5.4,4.7,3.9,
LAUST130000000000004,235077,209493,187891,178161,177219,181275,173937,163106,150696,172482,216817,211916,212735,245197,221647,218178,304243,475895,494624,485449,439284,389783,335513,285039,263438,236697,201245,
LAUST130000000000005,3164618,3271285,3406072,3504765,3632917,3779217,3898825,3990393,4071557,4089559,4110874,4182521,4239065,4341223,4489128,4597640,4575010,4311854,4202052,4263305,4348083,4366374,4403433,4490414,4658053,4822263,4906411,
LAUST130000000000006,3399695,3480778,3593963,3682926,3810136,3960492,4072762,4153499,4222253,4262041,4327691,4394437,4451800,4586420,4710775,4815818,4879253,4787749,4696676,4748754,4787367,4756157,4738946,4775453,4921491,5058960,5107656,
LAUST150000000000003,4.3,4.5,5.5,5.9,6.3,6.2,6.1,5.4,4.2,4.5,4.2,4.1,3.4,2.9,2.6,2.8,4.3,7.2,6.9,6.8,6.0,4.9,4.4,3.6,3.0,2.4,2.4,
LAUST150000000000004,25317,26290,32298,34472,37431,37374,36626,32513,25733,27443,25330,24799,20756,17955,16687,17860,27571,45168,44967,44934,38883,31866,28970,24017,20177,16609,16606,
LAUST150000000000005,558936,560114,552917,552009,558167,563580,564957,570394,580214,583187,575594,578323,590156,608957,621573,620535,612120,586522,602282,615319,608302,619691,636495,649950,662784,667009,662128,
LAUST150000000000006,584253,586404,585215,586481,595598,600954,601583,602907,605947,610630,600924,603122,610912,626912,638260,638395,639691,631690,647249,660253,647185,651557,665465,673967,682961,683618,678734,
LAUST160000000000003,6.4,6.0,5.4,5.4,5.3,5.1,5.1,4.9,4.7,5.1,5.6,5.6,4.9,4.0,3.5,3.1,5.1,8.8,9.0,8.3,7.2,6.1,4.8,4.2,3.8,3.2,2.8,
LAUST160000000000004,33754,33143,31796,32486,32654,32590,33153,31970,30980,34385,38042,38670,34621,29379,26031,23203,38500,66409,68230,63712,55552,47197,37684,33704,30905,26879,24317,
LAUST160000000000005,497372,520963,555338,568218,584137,601135,616282,619237,628844,643280,646549,651335,668441,702291,721346,731235,716653,690722,692826,701466,713704,723636,742302,762279,784172,807819,832732,
LAUST160000000000006,531126,554106,587134,600704,616791,633725,649435,651207,659824,677665,684591,690005,703062,731670,747377,754438,755153,757131,761056,765178,769256,770833,779986,795983,815077,834698,857049,
LAUST170000000000003,7.9,7.4,5.8,5.2,5.3,4.8,4.4,4.4,4.3,5.3,6.5,6.8,6.2,5.7,4.5,5.0,6.3,10.2,10.4,9.7,9.0,9.0,7.1,6.0,5.8,4.9,4.3,
LAUST170000000000004,475377,451751,353103,318682,330382,301317,280521,281445,282062,344245,415342,425613,392320,363895,295428,331591,418616,675429,688274,638527,591223,592724,461710,388193,380323,319066,278349,
LAUST170000000000005,5552539,5620733,5755545,5855655,5917463,5999611,6066484,6186543,6211404,6113677,5933897,5874608,5933127,6033913,6230845,6334010,6238611,5943229,5937047,5948366,5990644,5956749,6052151,6122622,6169524,6170546,6191319,
LAUST170000000000006,6027916,6072484,6108648,6174337,6247845,6300928,6347005,6467988,6493466,6457922,6349239,6300221,6325447,6397808,6526273,6665601,6657227,6618658,6625321,6586893,6581867,6549473,6513861,6510815,6549847,6489612,6469668,
LAUST180000000000003,6.6,5.4,4.9,4.6,4.1,3.5,3.1,3.0,3.1,4.2,5.2,5.3,5.4,5.5,5.0,4.6,5.9,10.3,10.4,9.1,8.3,7.7,6.0,4.8,4.4,3.6,3.4,
LAUST180000000000004,187573,158776,149257,144076,126460,109304,96716,95017,97306,133392,164357,168333,169729,175477,162997,146645,190269,329004,329584,290046,264286,244131,192275,157801,146995,118540,116133,
LAUST180000000000005,2669811,2789531,2915071,2991096,2983209,3011304,3026444,3029834,3029073,3007507,3006811,3014655,2998068,3029959,3072113,3061042,3041828,2864985,2845608,2891945,2905549,2944275,3032497,3108719,3181898,3218115,3265580,
LAUST180000000000006,2857384,2948307,3064328,3135172,3109669,3120608,3123160,3124851,3126379,3140899,3171168,3182988,3167797,3205436,3235110,3207687,3232097,3193989,3175192,3181991,3169835,3188406,3224772,3266520,3328893,3336655,3381713,
LAUST190000000000003,4.5,4.0,3.5,3.4,3.5,3.1,2.7,2.6,2.6,3.3,4.0,4.5,4.5,4.3,3.7,3.7,4.2,6.4,6.0,5.5,5.0,4.7,4.2,3.8,3.6,3.1,2.5,
LAUST190000000000004,67476,62924,55535,54651,56637,49989,43822,41324,41817,53723,65349,72309,72027,69595,61054,61345,70598,108163,100834,92199,83262,79299,72114,64257,60820,51962,42560,
LAUST190000000000005,1444325,1496789,1523726,1532400,1551711,1552946,1552120,1555090,1548636,1559241,1572560,1534489,1529761,1560169,1596530,1599332,1608695,1579248,1577447,1570177,1569879,1594891,1629331,1637257,1633320,1626387,1644280,
LAUST190000000000006,1511801,1559713,1579261,1587051,1608348,1602935,1595942,1596414,1590453,1612964,1637909,1606798,1601788,1629764,1657584,1660677,1679293,1687411,1678281,1662376,1653141,1674190,1701445,1701514,1694140,1678349,1686840,
LAUST200000000000003,4.5,5.0,4.9,4.4,4.3,3.8,3.5,3.3,3.6,4.2,5.1,5.5,5.5,5.0,4.4,4.2,4.6,6.9,7.1,6.5,5.7,5.3,4.5,4.2,4.0,3.7,3.4,
LAUST200000000000004,58642,66217,66060,59589,57740,51951,49989,46732,50433,58586,71411,79160,79840,73616,64299,63009,69048,104334,105806,97005,85098,78700,67719,62132,59888,53989,49833,
LAUST200000000000005,1250194,1266875,1282791,1290159,1300384,1329751,1366403,1378867,1356147,1332034,1341603,1357867,1383867,1392024,1402796,1420449,1430628,1413873,1394958,1394082,1400122,1407217,1424439,1428557,1425433,1424724,1432387,
LAUST200000000000006,1308836,1333092,1348851,1349748,1358124,1381702,1416392,1425599,1406580,1390620,1413014,1437027,1463707,1465640,1467095,1483458,1499676,1518207,1500764,1491087,1485220,1485917,1492158,1490689,1485321,1478713,1482220,
LAUST210000000000003,6.9,6.2,5.4,5.4,5.5,5.3,4.6,4.5,4.2,5.2,5.7,6.1,5.4,5.9,5.7,5.4,6.4,10.3,10.2,9.4,8.2,8.0,6.5,5.3,5.1,4.9,4.3,
LAUST210000000000004,122416,112094,98404,100516,102468,102253,88735,88529,81974,101171,110485,120172,106059,117834,115759,109862,130055,213036,209725,193482,167965,164563,129518,104828,103209,100725,89310,
LAUST210000000000005,1656436,1691208,1727832,1755029,1771621,1814492,1844022,1870873,1883714,1857238,1833535,1839873,1857816,1881943,1913472,1922220,1900683,1847126,1844650,1862928,1891162,1890879,1876841,1874866,1910901,1953032,1972312,
LAUST210000000000006,1778852,1803302,1826236,1855545,1874089,1916745,1932757,1959402,1965688,1958409,1944020,1960045,1963875,1999777,2029231,2032082,2030738,2060162,2054375,2056410,2059127,2055442,2006359,1979694,2014110,2053757,2061622,
LAUST220000000000003,8.0,7.6,7.8,7.0,6.6,6.0,5.7,5.1,5.3,5.7,6.1,6.4,5.9,7.2,4.5,4.3,4.9,6.8,8.0,7.8,7.1,6.7,6.4,6.3,6.1,5.1,4.9,
LAUST220000000000004,154485,144738,152459,137058,131504,121318,116770,103588,108019,116484,123076,129350,120640,148018,88532,86396,102454,140884,166224,162196,147143,140877,137093,136511,128447,107694,102704,
LAUST220000000000005,1767337,1753214,1790627,1821954,1857715,1899922,1932134,1935457,1929056,1911818,1881146,1888974,1916536,1921385,1899981,1944038,1982381,1923884,1919852,1911021,1933137,1960539,2014189,2022145,1992625,1995944,2000791,
LAUST220000000000006,1921822,1897952,1943086,1959012,1989219,2021240,2048904,2039045,2037075,2028302,2004222,2018324,2037176,2069403,1988513,2030434,2084835,2064768,2086076,2073217,2080280,2101416,2151282,2158656,2121072,2103638,2103495,
LAUST230000000000003,7.3,7.3,7.0,6.0,5.2,5.1,4.5,4.0,3.4,3.8,4.3,5.0,4.6,4.9,4.6,4.7,5.5,8.1,8.1,7.9,7.5,6.6,5.6,4.4,3.8,3.4,3.4,
LAUST230000000000004,47134,45634,43430,38000,34157,33179,29417,26412,22815,25774,29297,33964,31839,34021,31987,32687,38488,56265,56552,55196,52519,46895,39125,29967,26168,23669,23524,
LAUST230000000000005,597355,583220,578254,599534,622580,623530,623793,642085,655349,648545,645935,649571,654161,663132,669554,667781,663158,639954,638630,644085,650117,658522,657188,653242,665062,674750,675221,
LAUST230000000000006,644489,628854,621684,637534,656737,656709,653210,668497,678164,674319,675232,683535,686000,697153,701541,700468,701646,696219,695182,699281,702636,705417,696313,683209,691230,698419,698745,
LAUST240000000000003,6.8,6.2,5.3,5.0,5.0,5.0,4.4,3.6,3.6,4.0,4.4,4.4,4.3,4.1,3.9,3.5,4.2,7.0,7.7,7.2,7.0,6.6,5.8,5.1,4.5,4.3,3.9,
LAUST240000000000004,180141,164293,141349,136232,138268,137413,121970,98778,100401,113801,127453,127696,122849,121059,114512,102746,126966,212455,235334,224477,217340,205854,181486,159745,140920,135814,125485,
LAUST240000000000005,2471212,2494151,2540242,2574394,2602334,2629577,2642210,2667341,2703284,2724184,2742501,2754523,2766475,2803487,2849354,2867348,2874987,2820245,2838492,2872084,2902307,2923498,2941562,2980007,3019150,3057673,3071652,
LAUST240000000000006,2651353,2658444,2681591,2710626,2740602,2766990,2764180,2766119,2803685,2837985,2869954,2882219,2889324,2924546,2963866,2970094,3001953,3032700,3073826,3096561,3119647,3129352,3123048,3139752,3160070,3193487,3197137,
LAUST250000000000003,8.5,7.0,6.0,5.3,4.4,3.9,3.3,3.2,2.7,3.7,5.3,5.7,5.1,4.8,4.9,4.6,5.5,8.1,8.3,7.3,6.7,6.7,5.7,4.8,3.9,3.8,3.3,
LAUST250000000000004,269002,221718,193475,169956,143803,129526,110186,106853,89932,126153,180997,195428,174673,164027,167023,157913,191060,281372,289265,251554,232630,236035,204883,172558,140249,138956,127048,
LAUST250000000000005,2912028,2952583,3007359,3044696,3097563,3176134,3230442,3247012,3240245,3255134,3250085,3226981,3220838,3220089,3246316,3268096,3261408,3189010,3190818,3217754,3252531,3276792,3363438,3417789,3479435,3557038,3678402,
LAUST250000000000006,3181030,3174301,3200834,3214652,3241366,3305660,3340628,3353865,3330177,3381287,3431082,3422409,3395511,3384116,3413339,3426009,3452468,3470382,3480083,3469308,3485161,3512827,3568321,3590347,3619684,3695994,3805450,
LAUST260000000000003,9.0,7.2,6.0,5.3,4.9,4.3,3.9,3.7,3.6,5.2,6.3,7.2,7.0,6.8,7.0,7.0,8.0,13.7,12.6,10.4,9.1,8.8,7.2,5.4,5.0,4.6,4.1,
LAUST260000000000004,420012,342262,288360,253579,238793,211395,195438,189758,186452,265326,314742,360756,356785,344228,355571,352181,392177,669741,604913,486815,426037,415915,344367,258302,241394,225377,203224,
LAUST260000000000005,4258246,4400201,4519538,4558922,4638837,4743163,4824324,4925999,4976322,4854630,4702399,4667103,4705591,4738902,4721085,4658939,4529289,4233803,4194041,4198349,4246658,4308030,4417024,4501006,4606692,4660709,4698845,
LAUST260000000000006,4678258,4742463,4807898,4812501,4877630,4954558,5019762,5115757,5162774,5119956,5017141,5027859,5062376,5083130,5076656,5011120,4921466,4903544,4798954,4685164,4672695,4723945,4761391,4759308,4848086,4886086,4902069,
LAUST270000000000003,5.1,5.0,4.1,3.7,4.0,3.3,2.7,2.8,3.2,3.8,4.5,4.9,4.7,4.1,4.0,4.6,5.4,7.8,7.4,6.5,5.6,5.0,4.2,3.7,3.9,3.4,2.9,
LAUST270000000000004,126132,124840,104383,97326,104831,87259,73063,76116,88829,107242,128522,140376,134813,117027,115717,132686,158746,228550,217601,191015,165215,146834,124013,110616,117053,104055,89339,
LAUST270000000000005,2342262,2391535,2452054,2506965,2547696,2591975,2638721,2680029,2724118,2737961,2731080,2734287,2745615,2762733,2772115,2773704,2766342,2713426,2721194,2755264,2781141,2811762,2848788,2887132,2916354,2952960,2980885,
LAUST270000000000006,2468394,2516375,2556437,2604291,2652527,2679234,2711784,2756145,2812947,2845203,2859602,2874663,2880428,2879760,2887832,2906390,2925088,2941976,2938795,2946279,2946356,2958596,2972801,2997748,3033407,3057015,3070224,
LAUST280000000000003,8.1,6.6,6.3,6.2,6.0,5.7,5.3,5.1,5.4,5.5,6.6,6.3,6.2,7.5,6.5,6.1,6.6,9.5,10.4,10.0,9.0,8.5,7.5,6.4,5.8,5.1,4.8,
LAUST280000000000004,95949,80398,78366,78330,76301,72594,67045,65800,71026,71634,85045,82105,80915,98567,84265,79455,85781,120289,135729,134061,118340,108725,93830,80971,74248,65268,60729,
LAUST280000000000005,1094539,1134735,1170396,1180514,1188212,1200208,1207745,1220702,1248240,1222500,1201191,1219145,1232187,1218825,1205906,1224059,1220991,1148930,1170879,1208747,1198196,1163752,1156341,1184274,1205192,1215298,1214992,
